"model_name","variable_name","decomp_group","Date","value"
"multiples_pna_glass_330ml_12pack","m_spotify_peroni_im","spotify_peroni",2021-01-17,0
"multiples_pna_glass_330ml_12pack","m_tv_peroni_total_tvr_adstock60","tv_peroni",2021-01-17,0
"multiples_pna_glass_330ml_12pack","m_yt_peroni_im","youtube_peroni",2021-01-17,0
"multiples_pna_glass_330ml_12pack","mod_bp_multiples_pna_glass_330ml_12pack","price",2021-01-17,0
"multiples_pna_glass_330ml_12pack","mod_discount_multiples_pna_glass_330ml_12pack","promo",2021-01-17,0
"multiples_pna_glass_330ml_12pack","mod_featdisp_multiples_pna_glass_330ml_12pack","feature_display",2021-01-17,4205.33396345634
"multiples_pna_glass_330ml_12pack","s_christmas","seasonality",2021-01-17,0
"multiples_pna_glass_330ml_12pack","s_good_friday","seasonality",2021-01-17,0
"multiples_pna_glass_330ml_12pack","s_spring_bank_holiday","seasonality",2021-01-17,0
"multiples_pna_glass_330ml_12pack","sub_base","sub_base",2021-01-17,-1010979.26213201
"multiples_pna_glass_330ml_12pack","w_deviation_rainfall","weather",2021-01-17,-847.744863023716
"multiples_pna_glass_330ml_12pack","bt_peroni_difference_ind","brand_metric",2021-01-24,36257.5908195621
"multiples_pna_glass_330ml_12pack","c_discount_multiples_stella_artois_btl_284_ml_12_pack","comp_promo",2021-01-24,-2063.07129973007
"multiples_pna_glass_330ml_12pack","dummy_20210627","unexplained",2021-01-24,0
"multiples_pna_glass_330ml_12pack","dummy_20230402","unexplained",2021-01-24,0
"multiples_pna_glass_330ml_12pack","e_cci","economy",2021-01-24,57692.5597566967
"multiples_pna_glass_330ml_12pack","e_unemployment","economy",2021-01-24,-167648.46252051
"multiples_pna_glass_330ml_12pack","events_peroni_rugby_world_cup_23","events",2021-01-24,0
"multiples_pna_glass_330ml_12pack","events_peroni_uefa_21","events",2021-01-24,0
"multiples_pna_glass_330ml_12pack","events_rugby_wc_final","events",2021-01-24,0
"multiples_pna_glass_330ml_12pack","gt_peroni","google_trend",2021-01-24,87651.672224543
